"Modul";"Tabelle";"Feldinhalt";"Feld";"Typ";"Art des Feldes";"Formel";"Tab";"Kategorie";"Status"
"objekte";"ObjPreise";"Jahresmiete (Ist)";"mieteinnahmen_pro_jahr_ist";"FLOAT(13,2)";"DATA_TYPE_MONETARY";"=[mieteinnahmen_ist]*12";"preise_flaechen";"Preise";"Aktiv"
"objekte";"ObjPreise";"Jahresmiete (Soll)";"mieteinnahmen_pro_jahr_soll";"FLOAT(13,2)";"DATA_TYPE_MONETARY";"=[mieteinnahmen_soll]*12";"preise_flaechen";"Preise";"Aktiv"
"objekte";"ObjTech";"Erstveröffentlichung";"erste_veroeffentlichung";"Date";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjVerwaltung";"Provisionsteilung";"boerseProvisionsteilung";"varchar(50)";"";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjGeo";"Rightmove Region";"regionRightmove";"VARCHAR(200)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"objekte";"ObjTech";"Original-Link";"imt_url";"Link";"";"";"details";"Technische-Angaben";"Inaktiv"
"adressen";"adressen";"Adresse geprüft";"addressVerifiedDate";"Date";"";"";"grunddaten";"Verwaltung";"Inaktiv"
"adressen";"adressen";"Plz2";"PLZ2";"Varchar(20)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"adressen";"adressen";"Ort2";"Ort2";"varchar(80)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"adressen";"adressen";"Lkz";"LKZ";"varchar(3)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"adressen";"adressen";"Anrede2";"Anrede2";"varchar(80)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"objekte";"ObjPreise";"MLS Abgabe Außenprovision";"provisionsAbgabe";"VARCHAR(11)";"";"";"details";"Preise";"Aktiv"
"objekte";"ObjGeo";"Virtueller Breitengrad";"virtualLatitude";"Float(13,5)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"objekte";"ObjGeo";"Virtueller Längengrad";"virtualLongitude";"Float(13,5)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"adressen";"adressen";"Status";"Status2Adr";"Varchar(80)";"";"";"grunddaten";"Verwaltung";"Aktiv"
"objekte";"ObjVerwaltung";"offline seit";"objekt_offline_seit";"Date";"";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjPreise";"Kaufpreis (Edi-Real)";"edi_kaufpreis";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Nettokaltmiete (Edi-Real)";"edi_nettokaltmiete";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Kaltmiete (Edi-Real)";"edi_kaltmiete";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Gesamtmiete (Edi-Real)";"edi_gesamtmiete";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjHomepage";"Objekt der Woche";"objekt_der_woche";"TINYINT(1)";"";"";"vermarktung";"";"Inaktiv"
"adressen";"adressen";"Plz-Postf.";"Plz_postfach";"varchar(10)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"adressen";"adressen";"Makler-ID (RE/MAX)";"MaklerIdRemax";"Int(8)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"objekte";"ObjVerwaltung";"Mietdauer (Scout)";"officeRentDurations";"Text";"DATA_TYPE_NONE";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjPreise";"Edi MwSt. Satz";"edi_mwst_satz";"Decimal(13,2)";"DATA_TYPE_PERCENTAGE";"";"preise";"Preise";"Inaktiv"
"objekte";"ObjKategorie";"Edi Commercial Code";"edi_commercialcode";"Varchar(255)";"DATA_TYPE_NONE";"";"grunddaten";"Kategorie";"Inaktiv"
"objekte";"ObjZustand";"CO2-Ausstoß";"co2ausstoss";"Decimal(7,2)";"";"";"details";"Zustand";"Inaktiv"
"objekte";"ObjVerwaltung";"Letzte Preisänderung";"lastPriceChange";"Date";"";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjPreise";"Aussenprovision (Wert)";"provision_aussen_wert";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Innenprovision (Wert)";"provision_innen_wert";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Aussenprovision (Art)";"provision_aussen_art";"Varchar(80)";"";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Innenprovision (Art)";"provision_innen_art";"Varchar(80)";"";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjStatistik";"Startpreis";"startpreis";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"";"Inaktiv"
"objekte";"ObjStatistik";"Erzielter Verkaufspreis";"erzielterVerkaufspreis";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"";"Inaktiv"
"objekte";"ObjStatistik";"Erzielte Innenprovision";"erzielteProvisionInnen";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"";"Inaktiv"
"objekte";"ObjStatistik";"Erzielte Aussenprovision";"erzielteProvisionAussen";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"";"Inaktiv"
"objekte";"ObjStatistik";"Erzielte Gesamtprovision";"erzielteProvisionGesamt";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"";"Inaktiv"
"objekte";"ObjStatistik";"Start Innenprovision";"startProvisionInnen";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"";"Inaktiv"
"objekte";"ObjStatistik";"Start Aussenprovision";"startProvisionAussen";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"";"Inaktiv"
"objekte";"ObjStatistik";"Start Gesamtprovision";"startProvisionGesamt";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"";"Inaktiv"
"objekte";"ObjHomepage";"Auf Karte anzeigen";"showGoogleMap";"TINYINT(1)";"";"";"vermarktung";"";"Inaktiv"
"objekte";"ObjHomepage";"fiktive Adresse aktiv";"virtualAddress";"TINYINT(1)";"";"";"vermarktung";"";"Inaktiv"
"objekte";"ObjHomepage";"fiktiver Preis aktiv";"virtualPriceActive";"TINYINT(1)";"";"";"vermarktung";"";"Inaktiv"
"objekte";"ObjTech";"Link aus IMV";"imv_url";"Varchar(200)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjFlaeche";"Gesamtfläche (verfügbar, m²)";"gesamtflaeche_verfuegbar_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Gesamtfläche (vermietet, m²)";"gesamtflaeche_vermietet_qm";"float(13,2)";"DATA_TYPE_AREA";"";"preise_flaechen";"Flächen";"Inaktiv"
